method,N,K,rounds,mean_selection_seconds,std_selection_seconds,total_selection_seconds,samples
baseline.fedavg,20,2,10,0.0001577916002133861,0.0002038603679424111,0.0015779160021338612,10
system_aware.fedcs,20,2,10,0.00024939180293586104,0.00043851163435697227,0.0024939180293586105,10
system_aware.oort,20,2,10,0.00021189159306231887,0.00033670414587422,0.0021189159306231886,10
system_aware.tifl,20,2,10,0.00022473329736385494,0.000396852204600093,0.0022473329736385494,10
ml.fedcor,20,2,10,0.0006038250023266301,0.0004972665523269313,0.0060382500232663006,10
research.criticalfl,20,2,10,0.0003021918004378676,0.0006469823213368596,0.0030219180043786764,10
research.fedgcs,20,2,10,0.02835458750196267,0.025145906315159547,0.2835458750196267,10
research.maml_select,20,2,10,0.01268862069118768,0.010617366691749796,0.1268862069118768,10
baseline.fedavg,40,4,10,8.328320109285414e-05,1.1813074083130962e-05,0.0008328320109285414,10
system_aware.fedcs,40,4,10,9.434189996682107e-05,2.9955508484832474e-05,0.0009434189996682107,10
system_aware.oort,40,4,10,0.00014551239146385342,0.00019413459613875302,0.0014551239146385342,10
system_aware.tifl,40,4,10,9.554159478284419e-05,4.736918159246254e-05,0.0009554159478284419,10
ml.fedcor,40,4,10,0.0026763291010865943,0.00038799392872202994,0.02676329101086594,10
research.criticalfl,40,4,10,0.00010554170003160835,3.99240506661086e-05,0.0010554170003160834,10
research.fedgcs,40,4,10,0.025830595998559146,0.015917726691537917,0.25830595998559147,10
research.maml_select,40,4,10,0.011159829099779018,0.006030422584374089,0.11159829099779017,10
baseline.fedavg,80,8,10,0.00010319179564248771,1.9419222517091966e-05,0.001031917956424877,10
system_aware.fedcs,80,8,10,0.0001291500055231154,2.327743255827079e-05,0.001291500055231154,10
system_aware.oort,80,8,10,0.0001236748998053372,2.5167450900517544e-05,0.001236748998053372,10
system_aware.tifl,80,8,10,9.825429879128933e-05,2.038923609784893e-05,0.0009825429879128933,10
ml.fedcor,80,8,10,0.020562366503872907,0.0019019997670012476,0.2056236650387291,10
research.criticalfl,80,8,10,0.00010058760235551745,1.324845817306541e-05,0.0010058760235551745,10
research.fedgcs,80,8,10,0.026627070794347674,0.01722778598277999,0.26627070794347674,10
research.maml_select,80,8,10,0.01190680410072673,0.006404727320735583,0.11906804100726731,10
baseline.fedavg,100,10,10,0.00010438309982419014,1.712542976637711e-05,0.0010438309982419014,10
system_aware.fedcs,100,10,10,0.00014227499486878513,2.1542119026256748e-05,0.0014227499486878514,10
system_aware.oort,100,10,10,0.00012292939354665577,2.2747392430857755e-05,0.0012292939354665577,10
system_aware.tifl,100,10,10,9.860830323304981e-05,1.724751125717628e-05,0.000986083032330498,10
ml.fedcor,100,10,10,0.038099004203104414,0.0019248314252492875,0.38099004203104414,10
research.criticalfl,100,10,10,0.00010959139617625624,1.585412885929093e-05,0.0010959139617625624,10
research.fedgcs,100,10,10,0.02711636679887306,0.017223320050912143,0.2711636679887306,10
research.maml_select,100,10,10,0.011871108200284652,0.0064383150243622605,0.11871108200284652,10
